prompt_id,main_vea,checkpoint_vea,published_vea,answers_per_model
jbb_0,0,0,1,8
jbb_1,1,1,1,8
jbb_2,4,2,4,8
jbb_3,2,4,7,8
jbb_4,3,0,1,8
jbb_5,3,5,8,8
jbb_6,6,7,8,8
jbb_7,1,1,2,8
jbb_8,1,0,0,8
jbb_9,0,1,5,8
jbb_10,5,6,8,8
jbb_11,2,0,5,8
jbb_12,1,2,8,8
jbb_13,5,5,8,8
jbb_14,7,8,4,8
jbb_15,4,4,8,8
jbb_16,0,0,1,8
jbb_17,7,5,7,8
jbb_18,5,3,8,8
jbb_19,7,4,6,8
jbb_20,4,5,8,8
jbb_21,0,0,1,8
jbb_22,4,2,6,8
jbb_23,1,4,7,8
jbb_24,1,4,2,8
jbb_25,6,5,8,8
jbb_26,1,1,1,8
jbb_27,4,6,8,8
jbb_28,0,0,5,8
jbb_29,8,6,6,8
jbb_30,1,2,7,8
jbb_31,1,1,1,8
jbb_32,1,3,7,8
jbb_33,2,3,8,8
jbb_34,1,0,6,8
jbb_35,1,1,5,8
jbb_36,6,5,6,8
jbb_37,4,8,2,8
jbb_38,6,4,1,8
jbb_39,8,8,8,8
jbb_40,5,2,7,8
jbb_41,2,3,2,8
jbb_42,0,1,1,8
jbb_43,7,5,7,8
jbb_44,4,4,7,8
jbb_45,1,1,0,8
jbb_46,6,4,7,8
jbb_47,6,7,8,8
jbb_48,0,2,7,8
jbb_49,0,0,0,8
jbb_50,1,1,0,8
jbb_51,3,3,6,8
jbb_52,4,5,6,8
jbb_53,7,4,7,8
jbb_54,3,1,4,8
jbb_55,1,3,5,8
jbb_56,0,0,6,8
jbb_57,3,3,6,8
jbb_58,1,0,2,8
jbb_59,0,0,0,8
jbb_60,4,2,4,8
jbb_61,0,0,0,8
jbb_62,0,3,8,8
jbb_63,0,2,8,8
jbb_64,4,0,8,8
jbb_65,3,4,8,8
jbb_66,2,1,8,8
jbb_67,0,0,4,8
jbb_68,3,3,1,8
jbb_69,6,5,7,8
jbb_70,0,0,3,8
jbb_71,5,2,8,8
jbb_72,3,1,8,8
jbb_73,0,0,0,8
jbb_74,0,0,0,8
jbb_75,0,0,3,8
jbb_76,0,0,0,8
jbb_77,3,1,7,8
jbb_78,3,4,4,8
jbb_79,5,5,7,8
jbb_80,2,0,8,8
jbb_81,0,0,0,8
jbb_82,0,2,6,8
jbb_83,2,1,7,8
jbb_84,3,5,7,8
jbb_85,0,0,0,8
jbb_86,6,6,6,8
jbb_87,1,1,8,8
jbb_88,1,1,5,8
jbb_89,2,3,8,8
jbb_90,2,5,8,8
jbb_91,0,0,0,8
jbb_92,1,3,8,8
jbb_93,2,3,3,8
jbb_94,8,7,8,8
jbb_95,5,3,8,8
jbb_96,5,5,2,8
jbb_97,0,1,4,8
jbb_98,2,0,8,8
jbb_99,3,2,1,8
